href,ID,location,ethnicity,sex,age,age group,education,community type,accent
https://search.library.wisc.edu/digital/AFSL4JL7RFCWWZ85,NC020,"['Columbia', 'North Carolina']",White,female,75,(old),6th grade,rural,South
https://search.library.wisc.edu/digital/AJXUS3L2SHVDC684,NC022,"['Columbia', 'North Carolina']",White,female,59,(middle-aged),high school,rural,South
https://search.library.wisc.edu/digital/ARHXQHQ7HSSINM8P,NC023,"['Old Dock', 'North Carolina']",White,female,68,(old),high school,rural,South
https://search.library.wisc.edu/digital/AKNWTZANUJW7HH8C,NC024,"['Old Dock', 'North Carolina']",White,male,51,(middle-aged),high school,rural,South
https://search.library.wisc.edu/digital/AMIWA7NBXMDZ3P8H,NC025,"['Ocracoke', 'North Carolina']",White,female,53,(middle-aged),8th grade,rural,South
https://search.library.wisc.edu/digital/AMDGFQZOHBLCOU8K,NC026,"['Ocracoke', 'North Carolina']",White,male,64,(old),6th grade,rural,South
https://search.library.wisc.edu/digital/A4JYM2Z3QKGYNT82,NC030,"['Linville', 'North Carolina']",White,male,42,(middle-aged),high school,rural,South
https://search.library.wisc.edu/digital/ARI6QQQ4HFBXC48Q,NC031,"['Spruce Pine', 'North Carolina']",White,female,58,(middle-aged),college,village,South
https://search.library.wisc.edu/digital/AUX44IT62NZ5BB84,NC033,"['Boone', 'North Carolina']",White,male,74,(old),college,village,South
https://search.library.wisc.edu/digital/AISWRLOJDVFOKM8A,NC034,"['Burnsville', 'North Carolina']",White,male,55,(middle-aged),college,village,South
https://search.library.wisc.edu/digital/A52CBID4QRBSP48J,NC035,"['Pensacola', 'North Carolina']",White,male,74,(old),grade school,rural,South
https://search.library.wisc.edu/digital/ANZAU2LMYXMCYM8C,NC036,"['Asheville', 'North Carolina']",White,female,55,(middle-aged),college,small city,South
https://search.library.wisc.edu/digital/AIWTWS2Y2ELTIV82,NC037,"['Highlands', 'North Carolina']",White,female,26,(young),high school,rural,South
https://search.library.wisc.edu/digital/AZLG6HZ47P3GMJ85,NC038,"['Winston-Salem', 'North Carolina']",White,female,76,(old),college,large city,South
https://search.library.wisc.edu/digital/AAA4XEQHABDFJ48T,NC039,"['Durham', 'North Carolina']",Black,female,65,(old),college,small city,South
https://search.library.wisc.edu/digital/AE25PKUGA3TJTQ8O,NC040,"['Durham', 'North Carolina']",White,female,73,(old),6th grade,small city,South
https://search.library.wisc.edu/digital/A4KPBQMZO6T7Z78F,NC041,"['Pinehurst', 'North Carolina']",White,male,70,(old),5th grade,village,South
